"sku;""manufacturer"";""description"";""date_modified"";""quantity"";""price"";""alt_sku"";""picture"""
"BT23401-00;""TENNANT"";""HARNESS - WIRE"";""2010-11-30 09:38:24"";""1"";""50"";""3035182"";"
"BW-B37;""BALDWIN"";""FILTER - OIL"";""2010-11-30 09:38:24"";""10"";""6"";""TY08922-02002"";"
"C633668;""INTRUPA"";;""2010-11-15 15:25:27"";""1"";""0"";;"
"CA10955;""CASCADE"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CA201225;""CASCADE"";""FUSE HOLDER"";""0000-00-00 00:00:00"";""1"";""4"";;"
"CA208378;""CASCADE"";""COVER - ROD"";""0000-00-00 00:00:00"";""1"";""0"";;"
"CA563487;""CASCADE"";""SEAL KIT - SIDE SHIFT CYLINDER"";""2010-11-30 09:38:24"";""1"";""39"";""CR116872"";"
"CA602486;""CASCADE"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CA615939;""CASCADE"";""SEAL KIT"";""2010-11-30 09:38:24"";""1"";""8"";""AC4916276"";"
"CA622897;""CASCADE"";""HANDLE - FORK PIN"";""2010-11-30 09:38:24"";""1"";""1"";""YT509241300"";"
"CA622908;""CASCADE"";""SPRING"";""0000-00-00 00:00:00"";""1"";""8"";;"
"CA628080;""CASCADE"";""CYLINDER KIT"";""0000-00-00 00:00:00"";""1"";""71"";;"
"CA638884;""CASCADE"";""CYLINDER KIT"";""0000-00-00 00:00:00"";""1"";""60"";;"
"CA645622;""CASCADE"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CA651483;""CASCADE"";;""0000-00-00 00:00:00"";""2"";""0"";;"
"CA656223;""CASCADE"";""SERVICE KIT"";""2010-11-30 09:38:24"";""1"";""7"";""CAC656223"";"
"CA657510;""CASCADE"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CA664839;""CASCADE"";""SEAL KIT"";""2010-11-30 09:38:24"";""1"";""25"";""INCE-1036"";"
"CA666248;""CASCADE"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CA667225;""CASCADE"";""WASHER - FLAT 3/4 IN"";""2010-11-30 09:38:24"";""2"";""0"";""CR60030-13"";"
"CA672563;""CASCADE"";""SERVICE KIT"";""2010-11-30 09:38:24"";""1"";""13"";""3054914"";"
"CA674238;""CASCADE"";;""0000-00-00 00:00:00"";""1"";""0"";;"
"CAK2PKR;;""PIN KIT - FORK"";""2010-11-30 09:38:24"";""1"";""19"";""3057703"";"
